seqCrct,seqRT,pushed,crctKey,tt,is_switch,is_probe,sequence
1,0.610424,1,1,3,0,NaN,100
1,0.475633,3,3,3,0,NaN,003
1,0.495598,3,3,3,0,NaN,003
1,0.545060,1,1,3,0,NaN,100
1,0.480866,1,1,3,0,NaN,100
1,0.452323,1,1,3,0,NaN,100
1,0.444966,1,1,3,0,NaN,100
1,0.502997,1,1,3,0,NaN,100
1,0.497037,1,1,3,0,NaN,100
1,0.567637,2,2,3,0,NaN,020
1,0.512628,3,3,3,0,NaN,003
1,0.602621,3,3,3,0,NaN,003
1,0.564854,2,2,3,0,NaN,020
1,0.729721,1,1,3,0,NaN,100
1,0.473038,2,2,3,0,NaN,020
1,0.628174,1,1,3,0,NaN,100
1,0.501866,2,2,3,0,NaN,020
1,0.571689,2,2,3,0,NaN,020
1,0.560402,1,1,3,0,NaN,100
1,0.565770,3,3,3,0,NaN,003
1,0.536338,2,2,3,0,NaN,020
1,0.555433,3,3,3,0,NaN,003
1,0.525075,3,3,3,0,NaN,003
1,0.548983,1,1,3,0,NaN,100
1,0.637057,3,3,3,0,NaN,003
1,0.521358,1,1,3,0,NaN,100
1,0.477626,2,2,3,0,NaN,020
1,0.554146,2,2,3,0,NaN,020
1,0.575036,3,3,3,0,NaN,003
1,0.556180,2,2,3,0,NaN,020
1,0.518866,2,2,3,0,NaN,020
1,0.652001,1,1,3,0,NaN,100
1,0.543815,2,2,3,0,NaN,020
1,0.505499,2,2,3,0,NaN,020
1,0.580996,3,3,3,0,NaN,003
1,0.571280,3,3,3,0,NaN,003
1,0.482806,3,3,3,0,NaN,003
1,0.521701,1,1,3,0,NaN,100
1,0.590832,3,3,3,0,NaN,003
1,0.524739,2,2,3,0,NaN,020
